Best performing model = KNeighborsClassifier(metric='euclidean', n_neighbors=19) 

Accuracy score on the test set = 0.65 

Model parameters = {'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'} 

    mean_fit_time  std_fit_time  mean_score_time  std_score_time param_metric  \
59       0.046872      0.001996         0.150996        0.010123    minkowski   
38       0.040690      0.004108         7.747879        0.115379    manhattan   
18       0.059242      0.007535         0.234373        0.022665    euclidean   
19       0.062833      0.015164         0.189095        0.007992    euclidean   
58       0.043482      0.002999         0.168951        0.006926    minkowski   
39       0.042085      0.009921         7.715166        0.118184    manhattan   
56       0.042286      0.002324         0.170744        0.004777    minkowski   
57       0.040690      0.003051         0.159574        0.013231    minkowski   
36       0.040093      0.005216         7.777400        0.084473    manhattan   
16       0.059640      0.006776         0.241354        0.031748    euclidean   
17       0.061834      0.009075         0.182113        0.009986    euclidean   
37       0.039493      0.003432         7.739103        0.068538    manhattan   
49       0.057644      0.012762         0.206447        0.018162    minkowski   
8        0.057046      0.004563         0.216820        0.016563    euclidean   
9        0.067221      0.016396         0.193879        0.011625    euclidean   
28       0.041088      0.003180         7.852799        0.184622    manhattan   
48       0.056849      0.005240         0.235170        0.019558    minkowski   
29       0.040092      0.005964         7.713970        0.129939    manhattan   
51       0.052660      0.004059         0.183708        0.022385    minkowski   
50       0.050265      0.014571         0.231182        0.019415    minkowski   
30       0.044879      0.015099         7.728730        0.104669    manhattan   
10       0.054254      0.006359         0.241556        0.025289    euclidean   
11       0.053456      0.011541         0.183509        0.014274    euclidean   
31       0.037499      0.001353         7.710779        0.060097    manhattan   
12       0.060239      0.006070         0.222008        0.011362    euclidean   
53       0.048272      0.006136         0.154186        0.012306    minkowski   
52       0.062631      0.010618         0.215625        0.029426    minkowski   
13       0.058843      0.006994         0.185304        0.012794    euclidean   
32       0.048669      0.015365         7.810711        0.117759    manhattan   
34       0.045078      0.014878         7.774608        0.079398    manhattan   
55       0.046473      0.005905         0.160574        0.012295    minkowski   
14       0.062035      0.005620         0.221806        0.005070    euclidean   
35       0.038695      0.003477         7.742494        0.085299    manhattan   
54       0.043683      0.004108         0.186501        0.013395    minkowski   
15       0.058443      0.008190         0.185904        0.004951    euclidean   
33       0.037698      0.000747         7.719754        0.123770    manhattan   
26       0.038895      0.005006         7.761642        0.082137    manhattan   
6        0.063029      0.009759         0.225797        0.014802    euclidean   
7        0.056447      0.008892         0.189094        0.012831    euclidean   
47       0.048470      0.008357         0.187699        0.018012    minkowski   
46       0.059838      0.008650         0.247140        0.024459    minkowski   
27       0.041289      0.006573         7.788769        0.301009    manhattan   
45       0.044081      0.007034         0.203855        0.029319    minkowski   
24       0.046676      0.010469         8.304390        0.235298    manhattan   
5        0.050065      0.014677         0.199071        0.018265    euclidean   
44       0.051862      0.011015         0.211833        0.019649    minkowski   
4        0.050066      0.004106         0.239758        0.016516    euclidean   
25       0.058045      0.018652         7.931787        0.153507    manhattan   
3        0.048270      0.008310         0.196079        0.010809    euclidean   
43       0.048470      0.010163         0.162568        0.013587    minkowski   
42       0.047273      0.012670         0.193483        0.013820    minkowski   
22       0.047472      0.007919         8.554323        0.566968    manhattan   
2        0.042286      0.002410         0.240557        0.008519    euclidean   
23       0.055650      0.019125         8.325535        0.448968    manhattan   
21       0.049667      0.008840         8.305588        0.647478    manhattan   
40       0.036700      0.000399         0.150996        0.009326    minkowski   
41       0.038496      0.001354         0.137233        0.006452    minkowski   
1        0.049865      0.011336         0.213034        0.016989    euclidean   
20       0.053857      0.005745         8.174139        0.133255    manhattan   
0        0.055251      0.018505         0.249932        0.010376    euclidean   

   param_n_neighbors param_weights  \
59                19      distance   
38                19       uniform   
18                19       uniform   
19                19      distance   
58                19       uniform   
39                19      distance   
56                17       uniform   
57                17      distance   
36                17       uniform   
16                17       uniform   
17                17      distance   
37                17      distance   
49                 9      distance   
8                  9       uniform   
9                  9      distance   
28                 9       uniform   
48                 9       uniform   
29                 9      distance   
51                11      distance   
50                11       uniform   
30                11       uniform   
10                11       uniform   
11                11      distance   
31                11      distance   
12                13       uniform   
53                13      distance   
52                13       uniform   
13                13      distance   
32                13       uniform   
34                15       uniform   
55                15      distance   
14                15       uniform   
35                15      distance   
54                15       uniform   
15                15      distance   
33                13      distance   
26                 7       uniform   
6                  7       uniform   
7                  7      distance   
47                 7      distance   
46                 7       uniform   
27                 7      distance   
45                 5      distance   
24                 5       uniform   
5                  5      distance   
44                 5       uniform   
4                  5       uniform   
25                 5      distance   
3                  3      distance   
43                 3      distance   
42                 3       uniform   
22                 3       uniform   
2                  3       uniform   
23                 3      distance   
21                 1      distance   
40                 1       uniform   
41                 1      distance   
1                  1      distance   
20                 1       uniform   
0                  1       uniform   

                                               params  split0_test_score  \
59  {'metric': 'minkowski', 'n_neighbors': 19, 'we...           0.646667   
38  {'metric': 'manhattan', 'n_neighbors': 19, 'we...           0.646667   
18  {'metric': 'euclidean', 'n_neighbors': 19, 'we...           0.646667   
19  {'metric': 'euclidean', 'n_neighbors': 19, 'we...           0.646667   
58  {'metric': 'minkowski', 'n_neighbors': 19, 'we...           0.646667   
39  {'metric': 'manhattan', 'n_neighbors': 19, 'we...           0.644444   
56  {'metric': 'minkowski', 'n_neighbors': 17, 'we...           0.653333   
57  {'metric': 'minkowski', 'n_neighbors': 17, 'we...           0.653333   
36  {'metric': 'manhattan', 'n_neighbors': 17, 'we...           0.653333   
16  {'metric': 'euclidean', 'n_neighbors': 17, 'we...           0.653333   
17  {'metric': 'euclidean', 'n_neighbors': 17, 'we...           0.653333   
37  {'metric': 'manhattan', 'n_neighbors': 17, 'we...           0.648889   
49  {'metric': 'minkowski', 'n_neighbors': 9, 'wei...           0.660000   
8   {'metric': 'euclidean', 'n_neighbors': 9, 'wei...           0.660000   
9   {'metric': 'euclidean', 'n_neighbors': 9, 'wei...           0.660000   
28  {'metric': 'manhattan', 'n_neighbors': 9, 'wei...           0.660000   
48  {'metric': 'minkowski', 'n_neighbors': 9, 'wei...           0.660000   
29  {'metric': 'manhattan', 'n_neighbors': 9, 'wei...           0.651111   
51  {'metric': 'minkowski', 'n_neighbors': 11, 'we...           0.651111   
50  {'metric': 'minkowski', 'n_neighbors': 11, 'we...           0.651111   
30  {'metric': 'manhattan', 'n_neighbors': 11, 'we...           0.651111   
10  {'metric': 'euclidean', 'n_neighbors': 11, 'we...           0.651111   
11  {'metric': 'euclidean', 'n_neighbors': 11, 'we...           0.651111   
31  {'metric': 'manhattan', 'n_neighbors': 11, 'we...           0.651111   
12  {'metric': 'euclidean', 'n_neighbors': 13, 'we...           0.662222   
53  {'metric': 'minkowski', 'n_neighbors': 13, 'we...           0.662222   
52  {'metric': 'minkowski', 'n_neighbors': 13, 'we...           0.662222   
13  {'metric': 'euclidean', 'n_neighbors': 13, 'we...           0.662222   
32  {'metric': 'manhattan', 'n_neighbors': 13, 'we...           0.662222   
34  {'metric': 'manhattan', 'n_neighbors': 15, 'we...           0.651111   
55  {'metric': 'minkowski', 'n_neighbors': 15, 'we...           0.651111   
14  {'metric': 'euclidean', 'n_neighbors': 15, 'we...           0.651111   
35  {'metric': 'manhattan', 'n_neighbors': 15, 'we...           0.646667   
54  {'metric': 'minkowski', 'n_neighbors': 15, 'we...           0.651111   
